0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.861,0.429,0,-10.695,1,0.042,0.335,0.0707,0.134,0.522,114.969,4,Life in Japan,Kowloon,33,267995,2021-07-02
0.584,0.842,9,-4.35,0,0.0401,0.497,0.000277,0.0804,0.735,162.031,4,Kingdom Leader,Boo Seeka,52,214831,2015-01-30
0.298,0.612,3,-9.002,0,0.0379,0.0194,9.67e-05,0.0906,0.343,156.727,4,Alone Again,Dokken,56,262200,1984-09-11
0.412,0.949,0,-6.378,1,0.123,0.0621,0.0355,0.105,0.192,161.537,4,Manhattan Project,Rush,37,304866,1985-01-01
0.343,0.83,0,-9.692,0,0.119,0.06,0.028,0.09,0.822,168.558,4,Chaser,Piero Umiliani,49,88241,2009-10-22
0.895,0.5,2,-15.83,1,0.328,0.569,0.0,0.0937,0.462,113.811,4,Peachfuzz,KMD,44,239800,1991
0.578,0.406,5,-9.038,1,0.0266,0.141,0.0677,0.156,0.392,132.492,4,Only Memories Remain,My Morning Jacket,37,429858,2015-05-04
0.73,0.458,2,-8.121,0,0.0531,0.169,0.619,0.136,0.566,120.13,4,Shimmy,Midnight Sister,32,168959,2017-09-08
0.699,0.615,0,-8.694,1,0.124,0.155,0.828,0.125,0.472,92.031,4,Browny,Sweet William,18,81000,2019-09-04
0.591,0.395,11,-11.05,1,0.128,0.682,0.0315,0.166,0.701,115.09,1,Hierba,emune,30,141818,2016-11-11
0.613,0.808,2,-6.078,1,0.248,0.381,0.0,0.262,0.736,94.51,4,Don't Front,Joey Bada$$,48,261670,2012-06-12
0.497,0.877,5,-6.854,0,0.455,0.402,2.91e-06,0.117,0.695,81.675,4,MOONSHOOTER,Ab-Soul,51,253198,2022-12-16
0.597,0.724,11,-7.239,0,0.21,0.00692,0.876,0.129,0.608,201.072,4,Make Up Your Mind,Here We Go Magic,18,246960,2012-05-08
0.624,0.705,0,-5.331,1,0.249,0.0539,0.0,0.0835,0.802,87.239,4,'99 Live (feat. Prospect),Terror Squad,17,253226,1999-09-10
0.224,0.753,0,-8.164,1,0.0943,0.0713,0.116,0.404,0.482,110.805,3,In The Flowers,Animal Collective,32,322026,2009-01-10
